cluster	gene
1	ENSG00000006016
1	ENSG00000006625
1	ENSG00000007237
1	ENSG00000010030
1	ENSG00000014257
1	ENSG00000022567
1	ENSG00000035664
1	ENSG00000062096
1	ENSG00000066056
1	ENSG00000070601
1	ENSG00000084110
1	ENSG00000084674
1	ENSG00000084710
1	ENSG00000088386
1	ENSG00000089723
1	ENSG00000090512
1	ENSG00000090661
1	ENSG00000091428
1	ENSG00000095303
1	ENSG00000095539
1	ENSG00000101049
1	ENSG00000101445
1	ENSG00000101460
1	ENSG00000103034
1	ENSG00000103056
1	ENSG00000103740
1	ENSG00000103811
1	ENSG00000104055
1	ENSG00000105141
1	ENSG00000105143
1	ENSG00000105289
1	ENSG00000105668
1	ENSG00000106178
1	ENSG00000106302
1	ENSG00000107159
1	ENSG00000108309
1	ENSG00000108556
1	ENSG00000108578
1	ENSG00000108830
1	ENSG00000108839
1	ENSG00000108852
1	ENSG00000110195
1	ENSG00000110675
1	ENSG00000111249
1	ENSG00000111344
1	ENSG00000112293
1	ENSG00000112394
1	ENSG00000114654
1	ENSG00000114771
1	ENSG00000114812
1	ENSG00000114854
1	ENSG00000115138
1	ENSG00000117594
1	ENSG00000118520
1	ENSG00000119125
1	ENSG00000119457
1	ENSG00000119915
1	ENSG00000121316
1	ENSG00000122877
1	ENSG00000123154
1	ENSG00000123405
1	ENSG00000124104
1	ENSG00000124143
1	ENSG00000124191
1	ENSG00000124721
1	ENSG00000125571
1	ENSG00000125780
1	ENSG00000130475
1	ENSG00000131686
1	ENSG00000131781
1	ENSG00000131969
1	ENSG00000132677
1	ENSG00000133863
1	ENSG00000134121
1	ENSG00000134398
1	ENSG00000134940
1	ENSG00000134955
1	ENSG00000135114
1	ENSG00000135144
1	ENSG00000135374
1	ENSG00000135678
1	ENSG00000135709
1	ENSG00000135917
1	ENSG00000136167
1	ENSG00000136695
1	ENSG00000136697
1	ENSG00000137462
1	ENSG00000138411
1	ENSG00000138449
1	ENSG00000138639
1	ENSG00000138823
1	ENSG00000142677
1	ENSG00000143412
1	ENSG00000143520
1	ENSG00000143536
1	ENSG00000143631
1	ENSG00000143869
1	ENSG00000145819
1	ENSG00000148734
1	ENSG00000151117
1	ENSG00000151365
1	ENSG00000154122
1	ENSG00000157368
1	ENSG00000158014
1	ENSG00000160862
1	ENSG00000162040
1	ENSG00000162399
1	ENSG00000162552
1	ENSG00000163064
1	ENSG00000163331
1	ENSG00000163803
1	ENSG00000164089
1	ENSG00000164120
1	ENSG00000164309
1	ENSG00000164442
1	ENSG00000164707
1	ENSG00000164742
1	ENSG00000165238
1	ENSG00000165887
1	ENSG00000165953
1	ENSG00000165966
1	ENSG00000166105
1	ENSG00000166634
1	ENSG00000166869
1	ENSG00000167755
1	ENSG00000167759
1	ENSG00000167768
